                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3664,                 4.7622,                 2.2015,                      0,                      0,                      0,                      0,                 2.3317,                 4.4223,                 2.8238,              1.875e-05,              1.875e-05,              1.875e-05
                      2,                 2.4584,                 4.8186,                 2.3847,                      0,                      0,                      0,                      0,                 2.3685,                 4.4154,                  2.858,             4.3209e-05,             4.3209e-05,             4.3209e-05
                      3,                 2.3957,                 4.9546,                 2.3655,                      0,                      0,                      0,                      0,                 1.9678,                 4.4089,                 2.2952,             6.7048e-05,             6.7048e-05,             6.7048e-05
                      4,                 1.7336,                 4.7769,                 1.7173,                0.00138,                0.08333,                0.00161,                0.00018,                 1.2479,                  4.373,                 1.5179,              9.027e-05,              9.027e-05,              9.027e-05
                      5,                 1.3231,                 4.4741,                 1.5108,                0.00703,                    0.5,                0.02793,                0.01083,                0.94976,                 4.3129,                 1.2586,             0.00011287,             0.00011287,             0.00011287
                      6,                 1.2589,                 4.2358,                 1.3715,                0.00687,                0.59091,                0.05128,                0.02938,                 1.0232,                 4.1606,                 1.2064,             0.00013486,             0.00013486,             0.00013486
                      7,                 1.2074,                 3.9541,                 1.3268,                0.00844,                0.86364,                0.15539,                0.08732,                 1.0642,                 3.8063,                 1.0426,             0.00015622,             0.00015622,             0.00015622
                      8,                   1.32,                 3.7986,                 1.4344,                0.01012,                0.81818,                0.29587,                0.19891,                 1.1081,                 3.7319,                 1.0286,             0.00017697,             0.00017697,             0.00017697
                      9,                 1.2907,                 3.4198,                 1.3958,                0.01181,                      1,                 0.3233,                0.23862,                0.98648,                 3.6492,                 0.9712,             0.00019709,             0.00019709,             0.00019709
                     10,                 1.2217,                 3.3113,                 1.3238,                0.01085,                      1,                0.32579,                0.23937,                0.95663,                  3.614,                0.97481,              0.0002166,              0.0002166,              0.0002166
                     11,                 1.2654,                 3.3101,                 1.2705,                0.00993,                      1,                0.32427,                0.20522,                 1.0117,                 3.5815,                0.99128,             0.00023549,             0.00023549,             0.00023549
                     12,                 1.1268,                 3.0204,                 1.1923,                0.00906,                      1,                0.29123,                0.20478,                0.93722,                 3.5206,                0.95538,             0.00025376,             0.00025376,             0.00025376
                     13,                 1.1342,                 3.1045,                 1.2323,                0.00823,                      1,                 0.2523,                0.16394,                  1.044,                  3.546,                 1.0394,             0.00027142,             0.00027142,             0.00027142
                     14,                 1.2611,                 2.8982,                 1.2832,                0.00775,                      1,                0.22549,                0.14652,                 1.0072,                 3.5151,                 1.0512,             0.00028845,             0.00028845,             0.00028845
                     15,                 1.1702,                 2.8783,                 1.2514,                0.84761,                0.09091,                0.33712,                0.22157,                 1.0858,                 3.2826,                 0.9908,             0.00030486,             0.00030486,             0.00030486
                     16,                 1.1746,                 2.8938,                 1.2287,                0.78901,                0.18182,                0.37122,                0.25442,                  1.081,                 3.2146,                0.98644,             0.00032066,             0.00032066,             0.00032066
                     17,                 1.0704,                 2.7018,                 1.1295,                0.00764,                      1,                 0.3295,                0.24247,                 1.0341,                  3.148,                0.97075,             0.00033584,             0.00033584,             0.00033584
                     18,                 1.1223,                 3.0378,                 1.1392,                 0.0079,                      1,                0.42524,                0.30823,                0.96299,                 3.1289,                0.93135,              0.0003504,              0.0003504,              0.0003504
                     19,                 1.1751,                 2.7321,                  1.132,                0.43779,                    0.5,                 0.4978,                0.36996,                0.93413,                 3.0955,                0.90848,             0.00036434,             0.00036434,             0.00036434
                     20,                 1.0575,                 2.6309,                 1.1357,                0.87374,                0.09091,                0.52622,                0.40769,                0.90581,                 3.0345,                0.89324,             0.00037766,             0.00037766,             0.00037766
                     21,                 1.0445,                 2.5671,                 1.0805,                0.87731,                0.12996,                0.60647,                0.47344,                0.92077,                 2.9304,                0.91795,             0.00039036,             0.00039036,             0.00039036
                     22,                 1.0422,                 2.4723,                 1.1077,                0.81662,                0.21852,                0.56498,                0.44037,                0.92088,                 2.8247,                0.93442,             0.00040244,             0.00040244,             0.00040244
                     23,                 1.0394,                 2.4284,                 1.1198,                0.81454,                0.16877,                0.59918,                0.44247,                0.89803,                 2.7526,                0.96027,             0.00041391,             0.00041391,             0.00041391
                     24,                  1.051,                 2.5252,                  1.162,                0.82134,                0.18243,                0.59088,                0.43658,                0.89511,                 2.6948,                   1.02,             0.00042475,             0.00042475,             0.00042475
                     25,                 1.0201,                 2.3341,                 1.1125,                0.81387,                0.35804,                0.57489,                0.43761,                0.87818,                 2.6284,                 1.0011,             0.00043498,             0.00043498,             0.00043498
                     26,                 1.0286,                 2.4518,                 1.1025,                0.77857,                0.36364,                 0.5737,                0.46071,                0.83163,                 2.5959,                0.92868,             0.00043164,             0.00043164,             0.00043164
                     27,                 1.0202,                  2.331,                 1.1236,                 0.7112,                0.39647,                0.63379,                0.50519,                0.84015,                  2.505,                0.92912,             0.00043164,             0.00043164,             0.00043164
                     28,                0.95945,                 2.4328,                 1.0932,                0.72606,                0.36364,                 0.5839,                 0.4531,                0.87936,                 2.2963,                0.94155,             0.00042391,             0.00042391,             0.00042391
                     29,                0.93822,                 2.2513,                 1.0429,                0.49698,                0.61364,                0.55378,                 0.4349,                0.94821,                 2.0877,                0.98108,             0.00041617,             0.00041617,             0.00041617
                     30,                  1.055,                 2.1841,                 1.1352,                0.37962,                  0.755,                0.58266,                0.45347,                0.94895,                 2.0199,                 1.0059,             0.00040844,             0.00040844,             0.00040844
                     31,                 1.0045,                 2.1386,                 1.0629,                0.45159,                0.87302,                0.61912,                  0.486,                0.92783,                 2.0178,                  1.002,              0.0004007,              0.0004007,              0.0004007
                     32,                0.94579,                 2.0814,                 1.0491,                0.43521,                0.83448,                0.67264,                0.51576,                 0.9035,                 1.9353,                0.97918,             0.00039297,             0.00039297,             0.00039297
                     33,                0.96805,                 2.0491,                 1.0752,                 0.4854,                  0.817,                0.65168,                0.49506,                0.89244,                 1.9213,                0.99023,             0.00038523,             0.00038523,             0.00038523
                     34,                0.94213,                 2.1115,                 1.0569,                0.57649,                0.81818,                0.68638,                0.51656,                0.90444,                    1.9,                0.99797,              0.0003775,              0.0003775,              0.0003775
                     35,                0.95175,                 2.0358,                 1.0615,                0.57943,                0.77273,                0.71976,                0.55607,                 0.8842,                 1.8397,                0.96862,             0.00036977,             0.00036977,             0.00036977
                     36,                0.92675,                 1.9533,                 1.0622,                0.38284,                0.93353,                0.70071,                0.53388,                0.95583,                 1.8967,                0.96957,             0.00036203,             0.00036203,             0.00036203
                     37,                0.97147,                 1.9557,                 1.1496,                0.41865,                      1,                0.84943,                0.65803,                 1.0349,                 1.8451,                 1.0008,              0.0003543,              0.0003543,              0.0003543
                     38,                0.88485,                 1.9201,                 1.0238,                0.59761,                0.81244,                0.93781,                0.71958,                0.99445,                 1.7075,                0.99491,             0.00034656,             0.00034656,             0.00034656
                     39,                0.87109,                 1.8903,                 1.0411,                0.54439,                0.87975,                 0.7943,                0.63997,                0.95637,                 1.7288,                0.98589,             0.00033883,             0.00033883,             0.00033883
                     40,                0.81949,                 1.7869,                 1.0661,                 0.5703,                0.84333,                0.76005,                0.61014,                0.90199,                 1.8673,                0.96512,             0.00033109,             0.00033109,             0.00033109
                     41,                0.90082,                 1.8579,                 1.0483,                0.57982,                0.89051,                0.77744,                0.61526,                0.88552,                 1.7365,                 0.9444,             0.00032336,             0.00032336,             0.00032336
                     42,                0.82638,                 1.8349,                 1.0573,                0.53239,                0.95455,                0.90071,                0.70243,                0.87557,                 1.5103,                0.92475,             0.00031562,             0.00031562,             0.00031562
                     43,                0.89551,                  1.858,                 1.0291,                0.79294,                0.87588,                0.98174,                0.75083,                 0.8742,                 1.3673,                0.93975,             0.00030789,             0.00030789,             0.00030789
                     44,                0.88225,                 1.6026,                 1.0078,                0.73214,                0.99252,                0.98742,                0.75562,                0.92181,                 1.2894,                0.96315,             0.00030016,             0.00030016,             0.00030016
                     45,                0.93318,                 1.7184,                 1.0431,                0.73045,                0.97727,                0.96859,                0.73048,                0.91995,                 1.2804,                0.96712,             0.00029242,             0.00029242,             0.00029242
                     46,                0.88783,                 1.6679,                 1.0201,                0.63076,                0.95819,                0.95623,                0.74541,                0.90475,                 1.3525,                0.96115,             0.00028469,             0.00028469,             0.00028469
                     47,                0.84481,                  1.552,                0.99798,                0.57757,                0.96002,                0.96578,                0.76095,                0.90489,                  1.435,                0.94685,             0.00027695,             0.00027695,             0.00027695
                     48,                0.86795,                 1.5716,                 1.0278,                0.60829,                0.95455,                0.97552,                0.78065,                0.89331,                 1.3815,                0.93788,             0.00026922,             0.00026922,             0.00026922
                     49,                0.79345,                 1.4892,                 1.0104,                0.67792,                0.95455,                0.97617,                0.79913,                0.88057,                 1.2584,                0.94037,             0.00026148,             0.00026148,             0.00026148
                     50,                0.86103,                 1.5945,                 1.0137,                0.79724,                0.96939,                0.98742,                0.79094,                0.87918,                 1.1467,                0.94369,             0.00025375,             0.00025375,             0.00025375
                     51,                0.81581,                 1.5375,                 1.0487,                0.82169,                0.97727,                0.98174,                0.78397,                0.88355,                 1.1051,                0.94826,             0.00024602,             0.00024602,             0.00024602
                     52,                0.79766,                 1.5553,                  1.011,                0.82283,                0.97727,                0.96859,                0.77408,                0.85987,                 1.1738,                0.95235,             0.00023828,             0.00023828,             0.00023828
                     53,                0.77491,                 1.5442,                 1.0747,                0.81099,                 0.9603,                0.96117,                0.77439,                0.84204,                  1.207,                0.94617,             0.00023055,             0.00023055,             0.00023055
                     54,                0.78768,                 1.5679,                  1.024,                 0.7878,                0.96725,                0.97606,                0.79021,                0.80827,                  1.187,                0.92478,             0.00022281,             0.00022281,             0.00022281
                     55,                0.83861,                 1.5146,                  1.024,                0.82452,                0.95882,                0.97606,                0.78827,                0.82237,                 1.1925,                 0.9106,             0.00021508,             0.00021508,             0.00021508
                     56,                0.76635,                  1.511,                0.98105,                 0.8544,                0.93895,                0.97606,                 0.7792,                0.87592,                 1.1877,                0.92105,             0.00020734,             0.00020734,             0.00020734
                     57,                 0.8199,                 1.4108,                 1.0033,                0.85986,                0.94443,                0.97606,                0.78119,                0.89827,                 1.1662,                0.93043,             0.00019961,             0.00019961,             0.00019961
                     58,                0.82028,                 1.4222,                  1.017,                0.90382,                0.92871,                0.97606,                0.78404,                0.85087,                 1.1271,                0.91506,             0.00019188,             0.00019188,             0.00019188
                     59,                0.81539,                 1.5561,                 1.0002,                0.89405,                0.93823,                0.97606,                0.79574,                0.81913,                 1.1002,                0.89819,             0.00018414,             0.00018414,             0.00018414
                     60,                0.71057,                 1.2993,                0.95262,                0.83374,                0.95563,                0.97227,                 0.7928,                0.82494,                 1.1092,                0.89783,             0.00017641,             0.00017641,             0.00017641
                     61,                0.71279,                 1.2848,                0.95027,                0.79253,                0.96437,                0.92705,                0.74005,                0.83422,                 1.1143,                0.90125,             0.00016867,             0.00016867,             0.00016867
                     62,                0.70239,                 1.3086,                0.95038,                0.80802,                0.97598,                0.98174,                0.80042,                0.83203,                 1.0577,                0.90698,             0.00016094,             0.00016094,             0.00016094
                     63,                0.77372,                 1.2777,                0.96693,                0.82047,                0.97727,                0.98174,                0.81849,                0.82493,                 1.0122,                0.90882,              0.0001532,              0.0001532,              0.0001532
                     64,                0.77994,                 1.2486,                 1.0086,                0.83177,                0.97727,                0.98742,                 0.8168,                0.80861,                0.98502,                 0.9046,             0.00014547,             0.00014547,             0.00014547
                     65,                0.68125,                 1.3116,                0.98589,                0.84722,                0.95861,                0.98742,                0.82924,                0.79761,                0.98292,                0.89619,             0.00013773,             0.00013773,             0.00013773
                     66,                0.70429,                 1.2652,                  0.971,                0.86047,                0.94611,                0.98742,                0.82244,                0.78634,                0.98287,                0.88937,                0.00013,                0.00013,                0.00013
                     67,                0.76842,                  1.446,                0.95709,                  0.863,                0.94487,                0.98742,                0.82424,                0.77977,                0.97275,                0.88766,             0.00012227,             0.00012227,             0.00012227
                     68,                0.69739,                 1.2361,                0.94652,                0.86249,                0.94114,                0.98742,                0.82124,                0.78027,                 0.9846,                0.89034,             0.00011453,             0.00011453,             0.00011453
                     69,                 0.7043,                  1.335,                0.98331,                 0.8363,                0.97319,                0.99045,                0.82734,                0.78433,                0.99418,                0.89481,              0.0001068,              0.0001068,              0.0001068
                     70,                0.70043,                 1.2785,                0.97558,                0.81623,                0.97727,                0.99045,                0.83468,                0.78239,                0.99777,                0.89994,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     71,                0.64119,                 1.2357,                0.94053,                0.81744,                0.99212,                  0.995,                0.84563,                0.77286,                 1.0036,                 0.9045,             9.1328e-05,             9.1328e-05,             9.1328e-05
                     72,                0.69528,                 1.2695,                 1.0041,                0.82441,                0.97612,                0.97985,                0.81406,                 0.7819,                 1.0034,                0.91382,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     73,                0.63732,                 1.2698,                 0.9449,                0.84573,                0.95758,                0.97985,                0.82311,                0.78456,                 0.9978,                0.91972,             7.5859e-05,             7.5859e-05,             7.5859e-05
                     74,                0.60056,                 1.2529,                0.93757,                0.85146,                0.95071,                0.97985,                0.82157,                0.77833,                0.99412,                 0.9185,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     75,                0.60559,                 1.1921,                0.89704,                0.84682,                0.94937,                0.97985,                0.82534,                0.76647,                0.98626,                0.91181,             6.0391e-05,             6.0391e-05,             6.0391e-05
                     76,                 0.6436,                 1.2386,                0.95183,                 0.8474,                 0.9489,                0.97985,                0.82723,                0.75427,                0.97441,                0.90018,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     77,                0.63449,                 1.2664,                0.92351,                0.84772,                0.94972,                0.97985,                 0.8219,                0.74631,                0.95479,                0.88936,             4.4922e-05,             4.4922e-05,             4.4922e-05
                     78,                0.66427,                 1.2443,                0.96582,                0.85655,                0.95084,                0.97985,                0.81979,                0.73728,                0.92806,                0.88281,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     79,                0.63248,                 1.3005,                0.95192,                0.86794,                0.95118,                0.97985,                0.81753,                0.73383,                0.91176,                0.87756,             2.9453e-05,             2.9453e-05,             2.9453e-05
                     80,                0.60785,                 1.2573,                0.94827,                0.87763,                0.95094,                0.97985,                0.81848,                0.73077,                0.90549,                0.87631,             2.1719e-05,             2.1719e-05,             2.1719e-05
